,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,target,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
67991,67991,40000,0.0819,814.7,MORTGAGE,140000,Not Verified,low_risk,n,19.75,0,1,18,0,9471,45,w,33249.95,33249.95,9740,9740,6750.05,2989.95,0,0,0,814.7,0,1,Individual,0,0,377773,1,6,1,2,9,61443,51,1,1,3218,26,86500,0,2,1,3,20987,65129,12.7,0,0,192,180,2,2,3,44,2,0,6,6,6,10,20,11,22,6,18,0,0,0,2,97.7,0,0,0,527975,70914,74600,99475,N,N
25429,25429,6000,0.1524,208.7,RENT,55000,Not Verified,low_risk,n,11.52,2,0,8,0,1280,12,w,0,0,6185.59,6185.59,6000,185.59,0,0,0,5773.27,0,1,Individual,0,0,23460,1,1,1,1,6,22180,94,0,1,713,68,11000,1,1,3,2,2933,4680,20.7,0,0,143,144,22,6,0,59,6,0,2,3,2,2,3,7,9,3,8,0,0,0,1,66.7,0,0,0,34628,23460,5900,23628,N,N
38496,38496,3600,0.1695,128.27,RENT,42000,Not Verified,low_risk,n,6.74,0,0,6,0,4757,6,w,0,0,3603.73,3603.73,3600,3.73,0,0,0,3607.12,0,1,Individual,0,0,19183,0,3,0,0,40,14426,96,1,2,4757,83,8100,0,0,2,2,3837,2543,65.2,0,0,54,107,9,9,0,9,7,0,1,1,2,2,3,3,3,1,6,0,0,0,1,100,0,0,0,23100,19183,7300,15000,N,N
19667,19667,20000,0.1524,478.33,RENT,100000,Not Verified,low_risk,n,12.13,0,2,7,0,12731,21,w,17624.06,17624.06,4766.37,4766.37,2375.94,2390.43,0,0,0,478.33,0,1,Individual,0,0,43817,1,2,1,3,11,31086,86,3,3,5917,78,20500,0,3,3,6,7303,6496,52.9,0,0,132,290,4,4,0,7,5,0,2,4,3,8,8,5,12,4,7,0,0,0,4,100,50,0,0,56481,43817,13800,35981,N,N
37505,37505,3600,0.124,120.27,RENT,50000,Not Verified,low_risk,n,16.08,0,3,6,0,10413,6,w,0,0,3602.48,3602.48,3600,2.48,0,0,0,3604.96,0,1,Individual,0,0,32448,2,2,1,1,9,22035,88,2,2,5985,71,21000,3,1,14,3,5408,10587,49.6,0,0,40,159,3,3,0,3,3,0,4,4,4,4,2,4,4,4,6,0,0,0,3,100,25,0,0,45977,32448,21000,24977,N,N
26517,26517,27000,0.0819,549.93,RENT,57000,Verified,low_risk,n,31.41,0,0,18,0,39124,27,w,22837.69,22837.69,6024.66,6024.66,4162.31,1862.35,0,0,0,549.93,0,1,Joint App,0,0,52062,1,1,0,1,23,4199,36,1,3,13034,42,104100,0,0,0,4,2892,62009,37,0,0,257,668,2,2,1,2,17,1,10,11,14,16,5,16,20,11,18,0,0,0,1,96.2,14.3,0,0,125240,52062,98400,11629,N,N
30063,30063,15000,0.0881,310,MORTGAGE,50000,Not Verified,low_risk,n,24.44,0,1,9,0,15705,9,w,12738.61,12738.61,3402.66,3402.66,2261.39,1141.27,0,0,0,310,0,1,Individual,0,0,148560,2,2,0,1,20,34196,79,3,3,4376,54,49600,2,0,1,5,16507,29112,33.2,0,0,32,222,5,5,1,5,5,0,5,6,5,5,2,6,6,6,9,0,0,0,4,100,0,0,0,192786,49901,43600,43276,N,N
31659,31659,19000,0.0881,602.52,MORTGAGE,70000,Not Verified,low_risk,n,30.94,0,0,19,0,40494,35,w,13715.54,13715.54,6618.42,6618.42,5284.46,1333.96,0,0,0,602.52,0,1,Joint App,0,0,746464,0,8,0,1,13,120746,115,0,1,9820,93,69000,0,1,0,2,39288,19195,56.4,0,0,122,179,14,13,1,14,13,0,4,6,6,8,20,10,14,6,19,0,0,0,0,100,33.3,0,0,782289,161240,44000,105289,N,N
15003,15003,27575,0.1171,912.07,OWN,142000,Source Verified,low_risk,n,17.9,0,0,20,1,29778,50,w,24877.79,24877.79,5436.54,5436.54,2697.21,2739.33,0,0,0,912.07,0,1,Individual,0,0,360273,3,3,1,3,7,59808,82,5,9,14500,42,142500,6,0,7,13,18014,65777,26.5,0,0,198,164,3,3,3,3,7,0,3,8,9,15,16,16,31,8,20,0,0,0,7,100,22.2,1,0,488561,89586,89500,72659,N,N
75464,75464,31500,0.1774,795.45,MORTGAGE,100000,Source Verified,low_risk,n,25.05,2,1,17,0,18416,57,w,0,0,32349.03,32349.03,31500,849.03,0,0,0,32411.12,0,1,Individual,0,0,516146,3,5,4,6,2,90475,56,0,0,5856,55,35000,1,5,1,7,34410,12179,56.3,0,0,196,259,44,2,4,44,6,0,7,9,9,14,35,11,18,9,17,0,0,0,5,96.2,28.6,0,0,562627,108891,27900,115627,N,N
37768,37768,26400,0.1033,565.22,MORTGAGE,70000,Not Verified,low_risk,n,24.48,0,0,10,0,20070,16,w,22518.22,22518.22,6202.27,6202.27,3881.78,2320.49,0,0,0,565.22,0,1,Individual,0,0,211288,1,1,0,1,16,18915,63,0,1,6494,46,54900,1,3,1,3,23476,30615,36.4,0,0,207,172,19,2,2,31,3,0,5,6,5,5,6,8,8,6,10,0,0,0,1,100,0,0,0,258000,38985,48100,30000,N,N
35473,35473,5000,0.1308,168.67,MORTGAGE,45370,Not Verified,low_risk,n,28.7,0,1,10,0,13789,21,w,3677.2,3677.2,1846.29,1846.29,1322.8,523.49,0,0,0,168.67,0,1,Individual,0,0,140511,1,2,1,2,8,30115,87,0,0,7382,78,21400,1,1,5,3,15612,1240,91.3,0,0,92,101,34,6,1,43,0,0,4,5,5,6,9,7,11,5,10,0,0,0,2,95.2,100,0,0,153155,43904,14200,34755,N,N
16700,16700,24000,0.0756,747.22,MORTGAGE,320000,Verified,low_risk,n,17.99,0,1,16,0,23597,25,w,17867.96,17867.96,7462.12,7462.12,6132.04,1330.08,0,0,0,747.22,0,1,Individual,0,0,894302,0,8,0,6,13,352415,76,1,2,17518,59,57700,2,8,5,9,55894,15190,60.7,0,0,197,158,8,8,7,24,1,0,2,3,3,3,10,6,8,3,16,0,0,0,2,100,33.3,0,0,1000318,376012,38700,395499,N,N
51646,51646,3600,0.0881,114.17,MORTGAGE,138000,Not Verified,low_risk,n,19.98,0,2,16,0,35004,43,f,2503.55,2503.55,1368.28,1368.28,1096.45,271.83,0,0,0,114.17,0,1,Individual,0,0,571521,4,5,4,5,3,82086,35,3,3,22276,73,44700,2,0,5,9,35720,4896,87.7,0,0,216,382,4,1,4,4,2,2,6,6,6,9,24,8,14,6,16,0,0,0,8,93,83.3,0,0,669620,117090,39900,92920,N,N
48811,48811,12000,0.1862,308.79,MORTGAGE,45000,Source Verified,low_risk,n,33.17,0,0,13,0,16923,30,w,10541.68,10541.68,3371.86,3371.86,1458.32,1913.54,0,0,0,0,0,1,Joint App,0,0,134887,1,3,1,1,7,117964,87,1,2,4660,87,19500,2,0,1,3,10376,8,99.9,0,0,148,141,4,4,1,4,7,0,6,9,6,6,18,10,11,9,13,0,0,0,2,100,83.3,0,0,122843,134887,11000,103343,N,N
16394,16394,12000,0.1308,273.53,RENT,85000,Not Verified,low_risk,n,26.36,0,1,12,0,14205,24,w,10500.62,10500.62,2726.58,2726.58,1499.38,1227.2,0,0,0,273.53,0,1,Individual,0,0,240240,2,5,1,5,6,59997,79,1,3,5855,75,24100,4,2,1,11,20020,1752,88.4,0,0,116,114,4,4,3,4,6,0,4,5,4,5,14,5,7,5,12,0,0,0,2,100,75,0,0,269520,74202,15100,75520,N,N
33289,33289,28000,0.0756,871.75,RENT,67000,Not Verified,low_risk,n,37.7,0,0,10,0,5108,13,w,20105.6,20105.6,9577.49,9577.49,7894.4,1683.09,0,0,0,871.75,0,1,Individual,0,0,56398,1,4,2,3,4,51290,65,0,0,1952,44,48400,2,1,1,3,5640,30277,12.2,0,0,89,110,25,4,0,25,1,0,3,4,3,3,6,6,7,4,10,0,0,0,2,100,0,0,0,127718,56398,34500,79318,N,N
35508,35508,10425,0.288,435.74,OWN,250000,Source Verified,low_risk,n,19.53,0,2,23,0,192645,35,w,0,0,12559.39,12559.39,10425,2134.39,0,0,0,9550.91,0,1,Individual,0,0,535534,1,8,2,2,5,78756,87,1,1,60797,92,193400,4,2,4,3,23284,638,97.5,0,0,139,253,7,5,1,7,4,0,9,13,9,11,17,13,16,13,23,0,0,0,3,97.1,100,0,0,607596,288192,117000,90405,N,N
5635,5635,9000,0.0819,183.31,MORTGAGE,60000,Source Verified,low_risk,n,12.58,0,0,6,0,2129,13,w,7743.03,7743.03,1829,1829,1256.97,572.03,0,0,0,183.31,0,1,Individual,0,0,18294,0,2,1,1,7,16165,70,0,0,1573,50,13700,1,4,1,1,3049,7571,21.9,0,0,76,80,44,7,0,66,11,0,2,2,2,4,4,4,9,2,6,0,0,0,1,100,0,0,0,36968,18294,9700,23268,N,N
16298,16298,20000,0.1033,428.2,MORTGAGE,109000,Not Verified,low_risk,n,26.69,0,0,18,0,68,45,w,17338.17,17338.17,4270.52,4270.52,2661.83,1608.69,0,0,0,428.2,0,1,Individual,0,0,459565,0,3,1,2,11,408499,77,3,5,68,38,63700,3,0,4,7,25531,47332,0.1,0,0,168,225,9,9,2,9,2,0,1,1,9,14,20,14,23,1,18,0,0,0,4,100,0,0,0,496305,408567,47400,358075,N,N
